MotivaciÃ³n,RelajaciÃ³n,SatisfacciÃ³n,Aprendizaje,EstrÃ©s,Ayuda,Seguridad,Actividad FÃ­sica,Amistad/Familia,Gratitud,Pasatiempos,InspiraciÃ³n,ReflexiÃ³n,ComunicaciÃ³n,Creatividad,Color,Significado
5,3,2,5,5,4,2,1,3,5,4,4,4,1,1,Verde,"Naturaleza, juventud, esperanza. Los verdes suaves suelen provocar calma, mientras que, los tonos más fuertes, incitan a la actividad"
2,4,3,5,3,2,3,4,3,3,2,4,3,3,5,Azul,"Seriedad, limpieza, confianza, tranquilidad, frescura, tristeza"
3,4,2,5,3,1,4,1,1,5,5,1,2,2,3,Negro,"Sobriedad, elegancia, formalidad, misterios, lo desconocido, muerte"
3,1,2,3,2,5,4,2,4,2,5,1,5,3,4,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
5,2,2,1,5,5,3,3,2,2,4,5,2,4,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
5,5,2,2,5,3,5,1,4,1,2,1,5,3,5,Blanco,"Pureza, virtud y limpieza"
5,4,5,3,1,3,5,3,2,2,3,4,5,4,5,Azul,"Seriedad, limpieza, confianza, tranquilidad, frescura, tristeza"
4,4,3,2,5,3,1,2,5,4,2,5,1,4,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
4,2,2,3,4,2,3,5,2,5,4,5,3,2,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
4,4,3,2,5,3,1,2,5,4,2,5,1,4,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
4,2,2,3,4,2,3,5,2,5,4,5,3,2,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
4,4,3,2,5,3,1,2,5,4,2,5,1,4,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
4,2,2,3,4,2,3,5,2,5,4,5,3,2,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Negro,"Sobriedad, elegancia, formalidad, misterios, lo desconocido, muerte"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Rojo,"Pasión, fuerza, vitalidad, peligro, energía, agresividad, virilidad"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Azul,"Seriedad, limpieza, confianza, tranquilidad, frescura, tristeza"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Verde,"Naturaleza, juventud, esperanza. Los verdes suaves suelen provocar calma, mientras que, los tonos más fuertes, incitan a la actividad"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Blanco,"Pureza, virtud y limpieza"
